label,column,importance_mean,importance_std,rank,tree_flag
is_chip_primary,Laser_Power,0.08594861205728019,0.004150779990818727,2,True
is_chip_primary,Power_Efficiency,0.10769796003568798,0.0037867376373255214,1,True
is_chip_primary,Laser_Centering_Position,0.03473167719169752,0.0027877974262554904,7,True
is_chip_primary,Laser_Current,0.0002212307506241314,0.0004995630832908143,21,False
is_chip_primary,Laser_Voltage,-0.001036927243836409,0.0007777013115636645,37,False
is_chip_primary,Beam_Diameter,-0.0004940249373771059,0.000685055930619207,33,False
is_chip_primary,Feed_Speed,0.00041040356259810135,0.0005196929980475683,18,False
is_chip_primary,Frequency,-0.0002967916981747143,0.0003311267508620928,31,False
is_chip_primary,Alignment_Time,-0.0005851953257511792,0.0005230327166261508,34,False
is_chip_primary,Process_Time,0.0012366236457994914,0.0004558957612935688,13,False
is_chip_primary,Cutting_X_Index,0.0005899942875958001,0.0007037103153260135,17,False
is_chip_primary,Cutting_Y_Index,0.00013302294269093017,0.00017167083036160943,26,False
is_chip_primary,Head_Temp,0.00453553957367628,0.0024619825418124514,10,True
is_chip_primary,Cooling_Flow,0.00016887614904435763,0.001043837190181168,22,False
is_chip_primary,Cooling_Water_Temp,0.0006087318413844356,0.0004417719203682571,16,False
is_chip_primary,Focus,0.010608321873593974,0.004066833406842331,9,True
is_chip_primary,CLN_Flow,0.0001347940035412091,0.00017990278152929943,25,False
is_chip_primary,CLN_Pressure,0.000136415600895116,0.0008223585579429625,24,False
is_chip_primary,CLN_Time,-0.0006807782593420519,0.0005755069033049095,35,False
is_chip_primary,Coating_Flow,-0.0004670382024850817,0.0007255980762036381,32,False
is_chip_primary,Laser_Head_Remain_Time,-0.0015570831531472873,0.0009435151952476823,39,False
is_chip_primary,Vibration,0.024812233969243747,0.0033712072100894135,8,True
is_chip_primary,Kerf_Width_Profile,0.06341026433400458,0.004831631550749501,5,True
is_chip_primary,Top_Kerf,0.06378328171546162,0.0053090206300130316,4,True
is_chip_primary,Bottom_Kerf,0.05144631138952481,0.005055450791870071,6,True
is_chip_primary,Kerf_Angle,0.0009224276331186202,0.0028168352517161667,14,False
is_chip_primary,Groove_Depth,-0.001337029851310767,0.0045337740325905795,38,False
is_chip_primary,Package_Size_1,-0.00015151820833364898,0.0025969345431057647,30,False
is_chip_primary,Package_Size_2,-0.0007889170651955047,0.0025060541203085216,36,False
is_chip_primary,Package_Size_3,0.004181111600336954,0.0025663935469926406,11,False
is_chip_primary,Package_Size_4,-0.0015677230578036532,0.003101426139516773,40,False
is_chip_primary,Coating_Thickness,0.0003896596686437862,0.00046527367375891215,19,False
is_chip_primary,Coating_Uniformity,-3.532884245676105e-05,0.000625149455878853,27,False
is_chip_primary,Cutting_Offset,0.0006476698396824225,0.002623660990035978,15,False
is_chip_primary,Surface_Roughness,0.00029133345036917263,0.0004173921710806297,20,False
is_chip_primary,Cooling_Thermal_Load,0.0001496030888331094,0.0007737425438088129,23,False
is_chip_primary,Laser_Cleaning_Demand,0.07781284844247124,0.00441864985418936,3,True
is_chip_primary,Cleaning_Capacity,-4.605132774682108e-05,0.0011187826644118428,28,False
is_chip_primary,Cleaning_Load_Ratio,0.0026673525342506186,0.0023413464925469405,12,False
is_chip_primary,Maintenance_Count,-0.00010700580177587977,6.062860152801599e-05,29,False
is_chip_broad,Laser_Power,0.08594861205728019,0.004150779990818727,2,True
is_chip_broad,Power_Efficiency,0.10769796003568798,0.0037867376373255214,1,True
is_chip_broad,Laser_Centering_Position,0.03473167719169752,0.0027877974262554904,7,True
is_chip_broad,Laser_Current,0.0002212307506241314,0.0004995630832908143,21,False
is_chip_broad,Laser_Voltage,-0.001036927243836409,0.0007777013115636645,37,False
is_chip_broad,Beam_Diameter,-0.0004940249373771059,0.000685055930619207,33,False
is_chip_broad,Feed_Speed,0.00041040356259810135,0.0005196929980475683,18,False
is_chip_broad,Frequency,-0.0002967916981747143,0.0003311267508620928,31,False
is_chip_broad,Alignment_Time,-0.0005851953257511792,0.0005230327166261508,34,False
is_chip_broad,Process_Time,0.0012366236457994914,0.0004558957612935688,13,False
is_chip_broad,Cutting_X_Index,0.0005899942875958001,0.0007037103153260135,17,False
is_chip_broad,Cutting_Y_Index,0.00013302294269093017,0.00017167083036160943,26,False
