label,column,importance_mean,importance_std,rank,tree_flag
is_particle_primary,Laser_Power,0.0014339235532517351,0.002928700206025568,11,False
is_particle_primary,Power_Efficiency,0.0009513819447406961,0.002286133334055269,15,False
is_particle_primary,Laser_Centering_Position,0.000683887184483147,0.0020114828467228457,21,False
is_particle_primary,Laser_Current,-0.00020059714647879256,0.00022585929558631784,38,False
is_particle_primary,Laser_Voltage,0.0004211430167095742,0.0006333510662019774,25,False
is_particle_primary,Beam_Diameter,0.0003617265808533554,0.0003342097639746598,27,False
is_particle_primary,Feed_Speed,0.00020367164677836575,0.0005571608388910664,31,False
is_particle_primary,Frequency,0.003283738010070179,0.003229306446666584,6,True
is_particle_primary,Alignment_Time,0.0008939912215090662,0.0004379463153170561,16,False
is_particle_primary,Process_Time,8.269906494188424e-05,0.00035065032299108097,34,False
is_particle_primary,Cutting_X_Index,0.00026303911415310376,0.000659691953901957,29,False
is_particle_primary,Cutting_Y_Index,0.0014707784786017327,0.0006108088289919586,10,True
is_particle_primary,Head_Temp,0.0015815629511154376,0.001758218984037667,9,True
is_particle_primary,Cooling_Flow,0.0014180976402684193,0.0007471485580709717,12,False
is_particle_primary,Cooling_Water_Temp,0.0005354268552685911,0.0008299736216522027,24,False
is_particle_primary,Focus,0.001788894390132025,0.001282815286605404,8,True
is_particle_primary,CLN_Flow,0.005419634565043716,0.002042767582628638,2,True
is_particle_primary,CLN_Pressure,-0.00019603934639645938,0.0016078501557395815,37,False
is_particle_primary,CLN_Time,-8.173689493192748e-05,0.0006332835055854261,35,False
is_particle_primary,Coating_Flow,0.0007021864650444779,0.0008919010982157117,20,False
is_particle_primary,Laser_Head_Remain_Time,0.00026233678935239275,0.0002823178465297942,30,False
is_particle_primary,Vibration,0.004652803032179538,0.0033466132379445426,3,True
is_particle_primary,Kerf_Width_Profile,0.0036667376552876624,0.002684248664685824,4,True
is_particle_primary,Top_Kerf,0.003425844503665306,0.0025871074301150295,5,True
is_particle_primary,Bottom_Kerf,0.0030720140645294934,0.0029324787046428654,7,True
is_particle_primary,Kerf_Angle,0.0005856560877093575,0.0009074610928877896,23,False
is_particle_primary,Groove_Depth,-0.0007059277093011111,0.0021174396579519764,40,False
is_particle_primary,Package_Size_1,0.0007999748530457429,0.0024864093471137967,18,False
is_particle_primary,Package_Size_2,0.0007355664410097828,0.0008839025414683682,19,False
is_particle_primary,Package_Size_3,0.00017159795918724184,0.0005581816699623513,33,False
is_particle_primary,Package_Size_4,-0.00015751125678945913,0.0019044746004543917,36,False
is_particle_primary,Coating_Thickness,0.0008196991489174336,0.0006620449381563706,17,False
is_particle_primary,Coating_Uniformity,0.0010682199896312398,0.0003740256650176843,14,False
is_particle_primary,Cutting_Offset,0.00018226045936680645,0.0022546312729372782,32,False
is_particle_primary,Surface_Roughness,0.12244584168120412,0.002306989983756378,1,True
is_particle_primary,Cooling_Thermal_Load,0.0006582956370913181,0.0010376565513152162,22,False
is_particle_primary,Laser_Cleaning_Demand,0.0012837859984448307,0.0021850141062703552,13,False
is_particle_primary,Cleaning_Capacity,-0.0004931737960667741,0.001034279345910991,39,False
is_particle_primary,Cleaning_Load_Ratio,0.0002723879259510416,0.0014534651053502911,28,False
is_particle_primary,Maintenance_Count,0.0003934726735261962,0.0002406423147020575,26,False
is_particle_broad,Laser_Power,-0.0012832238307116882,0.0007978381315332191,35,False
is_particle_broad,Power_Efficiency,-0.0018364547697429642,0.0010968356291996375,39,False
is_particle_broad,Laser_Centering_Position,-0.0014896236853376192,0.0006938016624072285,37,False
is_particle_broad,Laser_Current,3.7537309671916334e-05,0.00038069449374487907,20,False
is_particle_broad,Laser_Voltage,-0.00034581047482088454,0.00039123099323304134,27,False
is_particle_broad,Beam_Diameter,-4.624350144639318e-05,0.00027820706516357017,21,False
is_particle_broad,Feed_Speed,6.554284316183286e-05,0.000261854955054849,18,False
is_particle_broad,Frequency,9.186914642060895e-05,0.000601983059899218,17,False
is_particle_broad,Alignment_Time,0.0008338798542016171,0.0006255165133832654,12,False
is_particle_broad,Process_Time,9.556504069975583e-05,0.000250071387491863,16,False
is_particle_broad,Cutting_X_Index,0.0012952405160224557,0.000542220256939086,8,True
