Machine_ID,health_index,worst_defect,worst_defects
DP01,85.0,Particle,"[{'defect': 'Particle', 'health_index': 85.0, 'worst_factor': 'CLN_Flow'}, {'defect': 'Remain_Coat', 'health_index': 85.0, 'worst_factor': 'CLN_Flow'}, {'defect': 'Chipping', 'health_index': 96.5, 'worst_factor': 'Head_Temp'}]"
DP02,47.6,Chipping,"[{'defect': 'Chipping', 'health_index': 47.6, 'worst_factor': 'Laser_Power'}, {'defect': 'Particle', 'health_index': 90.9, 'worst_factor': 'Surface_Roughness'}, {'defect': 'Remain_Coat', 'health_index': 96.6, 'worst_factor': 'CLN_Pressure'}]"
DP03,50.8,Chipping,"[{'defect': 'Chipping', 'health_index': 50.8, 'worst_factor': 'Head_Temp'}, {'defect': 'Particle', 'health_index': 54.8, 'worst_factor': 'Surface_Roughness'}, {'defect': 'Remain_Coat', 'health_index': 87.7, 'worst_factor': 'CLN_Pressure'}]"
DP04,14.5,Particle,"[{'defect': 'Particle', 'health_index': 14.5, 'worst_factor': 'CLN_Flow'}, {'defect': 'Remain_Coat', 'health_index': 14.5, 'worst_factor': 'CLN_Flow'}, {'defect': 'Chipping', 'health_index': 96.8, 'worst_factor': 'Power_Efficiency'}]"
