Machine_ID,date,Vibration_z,CLN_Pressure_z,Laser_Power_z,Power_Efficiency_z,Head_Temp_z,Laser_Centering_Position_z,Cooling_Flow_z,Kerf_Width_Profile_z,Top_Kerf_z,Bottom_Kerf_z,mean_abs_risk_z,Yield_7d_ma,Particle_rate,Remain_Coat_rate,Micro_Crack_rate,Chipping_rate,bad_trend_count,bad_trend_factors,defect_penalty,stability_penalty,trend_penalty,health_index,Vibration_z_dup,CLN_Pressure_z_dup,Laser_Power_z_dup,Power_Efficiency_z_dup,Head_Temp_z_dup,Laser_Centering_Position_z_dup,Cooling_Flow_z_dup,Kerf_Width_Profile_z_dup,Top_Kerf_z_dup,Bottom_Kerf_z_dup
DP01,2026-01-01,-0.23773135929164024,0.050351331362506774,-0.15066457286775592,0.7856832116935184,-0.08672838466212998,0.8127504122513589,-0.04820935597768775,0.7967036067703819,0.7746944005569352,0.8044124476145945,0.3501261737450082,,0.0402930402930402,0.0219780219780219,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.0,2.8010093899600657,10.0,87.2,-0.23773135929164024,0.050351331362506774,-0.15066457286775592,0.7856832116935184,-0.08672838466212998,0.8127504122513589,-0.04820935597768775,0.7967036067703819,0.7746944005569352,0.8044124476145945
DP01,2026-01-02,-0.19598845609977203,0.16131197871332906,-0.18419905992220448,0.8125232143823559,-0.15724242009873451,0.8493661248592265,-0.028581765658661284,0.7884726798586331,0.8434964425083058,0.7899942691335091,0.3679153007675987,,0.0747330960854092,0.0035587188612099,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.0,2.9433224061407897,10.0,87.1,-0.19598845609977203,0.16131197871332906,-0.18419905992220448,0.8125232143823559,-0.15724242009873451,0.8493661248592265,-0.028581765658661284,0.7884726798586331,0.8434964425083058,0.7899942691335091
DP01,2026-01-03,-0.24324005100027885,-0.013405650798253668,-0.08835794181896303,0.73205338073039,-0.2346580091123706,0.7847575672656979,-0.04138096719827347,0.7388058991296836,0.775828608332851,0.7607647312211749,0.31711675667516576,99.85805643545858,0.0782918149466192,0.0213523131672597,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.4258306936242633,2.536934053401326,10.0,87.0,-0.24324005100027885,-0.013405650798253668,-0.08835794181896303,0.73205338073039,-0.2346580091123706,0.7847575672656979,-0.04138096719827347,0.7388058991296836,0.775828608332851,0.7607647312211749
DP01,2026-01-04,-0.22321775260075355,-0.047192363751882675,-0.11805672685326345,0.8177863728758713,-0.17901823855353216,0.8346774317888931,-0.0720727262047255,0.7628834018405559,0.8338084568768748,0.8252626791686344,0.34348605345866723,99.85805125516536,0.0678571428571428,0.0178571428571428,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.4258462345039078,2.747888427669338,10.0,86.8,-0.22321775260075355,-0.047192363751882675,-0.11805672685326345,0.8177863728758713,-0.17901823855353216,0.8346774317888931,-0.0720727262047255,0.7628834018405559,0.8338084568768748,0.8252626791686344
DP01,2026-01-05,-0.3149387043711641,0.010681279434286274,-0.06970050702863372,0.8105214707208684,-0.07236505701846584,0.7975714338111873,0.013332482855549783,0.7683569568652814,0.8160891629699996,0.72192280522303,0.3481471323461939,99.85356162670038,0.0700389105058365,0.0194552529182879,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.4393151198988505,2.785177058769551,10.0,86.8,-0.3149387043711641,0.010681279434286274,-0.06970050702863372,0.8105214707208684,-0.07236505701846584,0.7975714338111873,0.013332482855549783,0.7683569568652814,0.8160891629699996,0.72192280522303
DP01,2026-01-06,-0.20402065084593593,0.02066166641110621,-0.0484171185163162,0.7491388269839723,-0.10749724403456626,0.8372062029857587,0.11779978287562204,0.7993529663418545,0.7643467115959315,0.776110154364528,0.3704681298161955,99.8556521670693,0.0561797752808988,0.0262172284644194,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.43304349879211657,2.963745038529564,10.0,86.6,-0.20402065084593593,0.02066166641110621,-0.0484171185163162,0.7491388269839723,-0.10749724403456626,0.8372062029857587,0.11779978287562204,0.7993529663418545,0.7643467115959315,0.776110154364528
DP01,2026-01-07,-0.16590516532235527,0.08520057667262834,-0.18055914908695006,0.7974119108908435,-0.10148295302431122,0.8010328438229708,-0.046310187064542735,0.8089618540337776,0.7896968863577188,0.8087701633095673,0.3596816780589347,99.8562732860594,0.0654545454545454,0.0181818181818181,0.0036363636363636,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.431180141821784,2.8774534244714776,10.0,86.7,-0.16590516532235527,0.08520057667262834,-0.18055914908695006,0.7974119108908435,-0.10148295302431122,0.8010328438229708,-0.046310187064542735,0.8089618540337776,0.7896968863577188,0.8087701633095673
DP01,2026-01-08,-0.1828258744405194,0.03293277104319249,-0.23654447728449537,0.8032681474496386,-0.05743595221530241,0.7999880652749455,0.004073918027414544,0.8099730694952461,0.8120390598065568,0.8399433137021374,0.3625412040858814,99.8454579360841,0.1056338028169014,0.0246478873239436,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.46362619174769293,2.9003296326870514,10.0,86.6,-0.1828258744405194,0.03293277104319249,-0.23654447728449537,0.8032681474496386,-0.05743595221530241,0.7999880652749455,0.004073918027414544,0.8099730694952461,0.8120390598065568,0.8399433137021374
DP01,2026-01-09,-0.26882376825105136,-0.0060817472724747105,-0.15988116669039665,0.8015015115668085,-0.08568773332794925,0.8271267206591212,0.006647018557511738,0.7570592387525431,0.8130335573923037,0.6940282675770781,0.33789218989634945,99.84265295425013,0.0476190476190476,0.0256410256410256,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.4720411372496187,2.7031375191707956,10.0,86.8,-0.26882376825105136,-0.0060817472724747105,-0.15988116669039665,0.8015015115668085,-0.08568773332794925,0.8271267206591212,0.006647018557511738,0.7570592387525431,0.8130335573923037,0.6940282675770781
DP01,2026-01-10,-0.2903258248670645,0.03883873475877357,-0.1811748604595681,0.6999757436126045,-0.008345312113338159,0.7314927268887027,-0.05389636807523724,0.8280186471490287,0.7219304765405259,0.7757285366464611,0.32622425000808886,99.8514179816134,0.0551470588235294,0.0147058823529411,0.0,0.0,2,"['Power_Efficiency', 'Top_Kerf']",0.445746055159816,2.609794000064711,10.0,86.9,-0.2903258248670645,0.03883873475877357,-0.1811748604595681,0.6999757436126045,-0.008345312113338159,0.7314927268887027,-0.05389636807523724,0.8280186471490287,0.7219304765405259,0.7757285366464611
