column,DP01,DP02,DP03,DP04
Bottom_Kerf,-0.1352111206126269,0.30248802647230727,0.0077047019419602125,-0.1379524931677124
CLN_Flow,0.1471670258334819,0.13489815189530707,0.13489815189533103,-0.9105625252934073
Cleaning_Capacity,0.05232011331586994,0.045500738796578996,0.07250256933963856,-0.20875373822189466
Cleaning_Load_Ratio,-0.03533358816813263,-0.0962076554042012,-0.0677553701361166,0.22950273501875873
Focus,-0.08761245795240669,-0.029539741290945776,0.23139464011240857,-0.09911871375820933
Head_Temp,-0.07486033189066721,-0.027172039018890183,0.1959317630356118,-0.08074763694965824
Kerf_Width_Profile,-0.11421575697428915,0.23421623353612636,0.011694798759826746,-0.11319612333087187
Laser_Cleaning_Demand,0.1251586382889151,-0.2763504818067106,0.002547987588954785,0.12988995670635464
Laser_Power,0.1324892563257483,-0.29977367087847445,0.0,0.14199805462666049
Power_Efficiency,0.10649854097003698,-0.26590501094748525,0.01284744303771203,0.12994776100008926
Top_Kerf,-0.12065540152964299,0.2534948476791288,0.03278189475706891,-0.1319773475715436
Vibration,-0.2311192112891825,0.11167065554248273,0.28269098007474996,-0.019100683111759716
