defect,Machine_ID,rate,overall_rate,rate_ratio_vs_overall,chi2_p_across_machines,chi2_p_fdr,significant_fdr
Remain_Coat,DP01,0.02063106796116505,0.02332,0.8846941664307483,1.5137879153190807e-40,9.082727491914485e-40,True
Remain_Coat,DP02,0.019371433164536614,0.02332,0.8306789521670932,1.5137879153190807e-40,9.082727491914485e-40,True
Remain_Coat,DP03,0.01858661763530258,0.02332,0.7970247699529408,1.5137879153190807e-40,9.082727491914485e-40,True
Remain_Coat,DP04,0.03447596532702916,0.02332,1.478386163251679,1.5137879153190807e-40,9.082727491914485e-40,True
Particle,DP01,0.06982200647249191,0.07792,0.8960729783430686,9.52253748265295e-07,2.8567612447958852e-06,True
Particle,DP02,0.07973635559842457,0.07792,1.0233105184602742,9.52253748265295e-07,2.8567612447958852e-06,True
Particle,DP03,0.08178111759533137,0.07792,1.0495523305355667,9.52253748265295e-07,2.8567612447958852e-06,True
Particle,DP04,0.08022064617809299,0.07792,1.0295257466387704,9.52253748265295e-07,2.8567612447958852e-06,True
Chipping,DP01,4.045307443365696e-05,4e-05,1.0113268608414239,0.999998050598284,1.0,False
Chipping,DP02,4.018969536210915e-05,4e-05,1.0047423840527288,0.999998050598284,1.0,False
Chipping,DP03,3.9971220721080824e-05,4e-05,0.9992805180270206,0.999998050598284,1.0,False
Chipping,DP04,3.940110323089047e-05,4e-05,0.9850275807722616,0.999998050598284,1.0,False
Edge_Burn,DP01,0.00424757281553398,0.00441,0.9631684388965942,0.9588071179504074,1.0,False
Edge_Burn,DP02,0.004380676794469898,0.00441,0.9933507470453283,0.9588071179504074,1.0,False
Edge_Burn,DP03,0.0044368055000399715,0.00441,1.0060783446802657,0.9588071179504074,1.0,False
Edge_Burn,DP04,0.004570527974783294,0.00441,1.0364009013114044,0.9588071179504074,1.0,False
Laser_Paim,DP01,0.0,0.0,,1.0,1.0,False
Laser_Paim,DP02,0.0,0.0,,1.0,1.0,False
Laser_Paim,DP03,0.0,0.0,,1.0,1.0,False
Laser_Paim,DP04,0.0,0.0,,1.0,1.0,False
Micro_Crack,DP01,0.0002831715210355987,0.00041,0.6906622464282896,0.527502911496794,1.0,False
Micro_Crack,DP02,0.00040189695362109155,0.00041,0.9802364722465647,0.527502911496794,1.0,False
Micro_Crack,DP03,0.00039971220721080823,0.00041,0.974907822465386,0.527502911496794,1.0,False
Micro_Crack,DP04,0.0005516154452324665,0.00041,1.3454035249572356,0.527502911496794,1.0,False
