label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
primary,Laser_Power,-0.9229446033921044,0.0,0.8700739460345828,0.0,0.0,0.0,True,True
primary,Power_Efficiency,-0.9505849180499495,0.0,0.92903921701078,0.0,0.0,0.0,True,True
primary,Laser_Centering_Position,0.6576619992233392,0.0,0.6640896628113497,0.0,0.0,0.0,True,True
primary,Laser_Current,0.009002046931653629,0.023023036320198625,0.011949289264335361,0.002550852296508765,0.03903906158642376,0.004145134981826743,False,False
primary,Laser_Voltage,0.0007425748697491574,0.8512662739668997,0.0019355842180555083,0.6250239882201951,0.9799541633722417,0.6680613921057433,False,False
primary,Beam_Diameter,0.0006006701161065386,0.8794460440520119,-0.005189298904220374,0.190088218420428,0.9799541633722417,0.26476573279988186,False,False
primary,Frequency,-0.004144238205734507,0.29535965446472723,0.013399409814361718,0.0007159342918835347,0.47995943850518175,0.001213975538411211,False,False
primary,Feed_Speed,0.0025415623289291034,0.5210326924063058,0.007429361389966749,0.060663148329284045,0.7257241072802116,0.0946345113936831,False,False
primary,Alignment_Time,-0.0035272888588013807,0.3731147334312972,-0.0032314172027835264,0.4145313488877648,0.5596721001469458,0.48990068504917655,False,False
primary,Process_Time,-0.0006760301377271016,0.8644595021327973,-0.0038602602504281824,0.3296937458375744,0.9799541633722417,0.41477600282791616,False,False
primary,Cutting_X_Index,-0.0022875441246033024,0.5635249118688153,0.006466487092685158,0.10250829334130204,0.7578438469959929,0.15376244001195308,False,False
primary,Cutting_Y_Index,0.0003400852621067152,0.9315675362506094,0.005252210946445235,0.1847722289677025,0.9966942280752407,0.26476573279988186,False,False
primary,Head_Temp,0.931890171066788,0.0,0.9237270373924904,0.0,0.0,0.0,True,True
primary,Cooling_Flow,-0.49921495964290663,0.0,0.2983884428424368,0.0,0.0,0.0,True,True
primary,Cooling_Water_Temp,-0.003559199877781083,0.3688061848983092,-0.003949917415475679,0.3185851816407931,0.5596721001469458,0.414160736133031,False,False
primary,CLN_Flow,0.13268393202028372,4.3236463948238593e-246,-0.12156113344226971,6.690024443819837e-207,8.029629018958596e-246,1.2424331109951126e-206,False,False
primary,CLN_Pressure,1.640862525631448e-05,0.9966942280752407,0.0035596137046933762,0.36875051646571944,0.9966942280752407,0.4494146919425956,False,False
primary,CLN_Time,-0.0009035314239518311,0.8195333983242504,0.00010954673572416418,0.9779325937688867,0.9799541633722417,0.9779325937688867,False,False
primary,Coating_Flow,-0.002105018460026864,0.5950547991643651,-0.00154349462888137,0.6967300266158858,0.7735712389136746,0.7150650273163038,False,False
primary,Laser_Head_Remain_Time,-0.0033702414279498383,0.39476987456165946,-0.002638841061146091,0.5052081104313861,0.5702231521446193,0.5629461801949731,False,False
primary,Vibration,0.9021842689016222,0.0,0.8589899142629569,0.0,0.0,0.0,True,True
primary,Kerf_Width_Profile,0.9824854734902426,0.0,0.9820427589186214,0.0,0.0,0.0,True,True
primary,Top_Kerf,0.978023933558313,0.0,0.9752249650083644,0.0,0.0,0.0,True,True
primary,Bottom_Kerf,0.9793637420633794,0.0,0.9767448872658384,0.0,0.0,0.0,True,True
primary,Kerf_Angle,0.8245769191803862,0.0,0.7361720731825487,0.0,0.0,0.0,True,True
primary,Groove_Depth,-0.7992895408276921,0.0,0.699149911651542,0.0,0.0,0.0,True,True
primary,Package_Size_1,-0.647863183976382,0.0,0.6377422827030084,0.0,0.0,0.0,True,True
primary,Package_Size_2,-0.5788265610886542,0.0,0.5194682446513417,0.0,0.0,0.0,True,True
primary,Package_Size_3,0.5738754862694131,0.0,0.5173822666992702,0.0,0.0,0.0,True,True
primary,Package_Size_4,0.6465914329418514,0.0,0.6326859671593996,0.0,0.0,0.0,True,True
primary,Coating_Thickness,0.0001622966099688039,0.9673114668045636,0.005048787140428779,0.20236644341917842,0.9966942280752407,0.2721479756326882,False,False
primary,Coating_Uniformity,-0.00013692353862593265,0.9724196981098001,-0.0018866347758410562,0.633801833536218,0.9966942280752407,0.6680613921057433,False,False
primary,Surface_Roughness,0.5033954129968765,0.0,0.32235212112024403,0.0,0.0,0.0,True,True
primary,Cooling_Thermal_Load,0.3256659258737542,0.0,0.13725544827744396,3.4394857685062584e-263,0.0,6.706997248587204e-263,True,False
primary,Laser_Cleaning_Demand,-0.9122555728195826,0.0,0.8523454310165213,0.0,0.0,0.0,True,True
primary,Cleaning_Capacity,0.07727959574827548,8.447315781834515e-85,-0.05213223816632806,1.4216009024986496e-39,1.497478706779755e-84,2.5201106907930608e-39,False,False
primary,Cleaning_Load_Ratio,-0.5111575232200509,0.0,0.21876991008998647,0.0,0.0,0.0,True,True
primary,Package_Size_Asymmetry,0.6493006055218191,0.0,0.6431118906275939,0.0,0.0,0.0,True,True
primary,Maintenance_Count,-0.0016323481368892834,0.67988204871496,0.0027256816623537627,0.4894781169419814,0.8553354806414014,0.561460192962861,False,False
broad,Laser_Power,-0.9229446033921044,0.0,0.8700739460345828,0.0,0.0,0.0,True,True
broad,Power_Efficiency,-0.9505849180499495,0.0,0.92903921701078,0.0,0.0,0.0,True,True
broad,Laser_Centering_Position,0.6576619992233392,0.0,0.6640896628113497,0.0,0.0,0.0,True,True
broad,Laser_Current,0.009002046931653629,0.023023036320198625,0.011949289264335361,0.002550852296508765,0.03903906158642376,0.004145134981826743,False,False
broad,Laser_Voltage,0.0007425748697491574,0.8512662739668997,0.0019355842180555083,0.6250239882201951,0.9799541633722417,0.6680613921057433,False,False
broad,Beam_Diameter,0.0006006701161065386,0.8794460440520119,-0.005189298904220374,0.190088218420428,0.9799541633722417,0.26476573279988186,False,False
broad,Frequency,-0.004144238205734507,0.29535965446472723,0.013399409814361718,0.0007159342918835347,0.47995943850518175,0.001213975538411211,False,False
broad,Feed_Speed,0.0025415623289291034,0.5210326924063058,0.007429361389966749,0.060663148329284045,0.7257241072802116,0.0946345113936831,False,False
broad,Alignment_Time,-0.0035272888588013807,0.3731147334312972,-0.0032314172027835264,0.4145313488877648,0.5596721001469458,0.48990068504917655,False,False
