column,importance_mean,importance_std,tree_top10
CLN_Pressure,0.14623044383265774,0.0036492123774029585,True
Coating_Thickness,0.077318600181249,0.003401798863774687,True
CLN_Flow,0.016022902045963933,0.002199187901834231,True
Coating_Uniformity,0.005255014670321719,0.0005033295321182892,True
Laser_Power,0.0018931892496388658,0.0010882240072739645,True
Focus,0.001211049514837744,0.0008369694615684396,True
Process_Time,0.0011604927134616454,0.0006626161854156907,True
Vibration,0.001046928739667241,0.0007298741318602203,True
Feed_Speed,0.0007086237838547504,0.0007338265392037003,True
Laser_Voltage,0.0006514331437866228,0.0007220907375592604,True
Cutting_Y_Index,0.0005740169638945709,0.0014180138101203058,False
Cooling_Thermal_Load,0.000474783472736053,0.000796872212195895,False
Head_Temp,0.0003743468621645244,0.0005070078716804728,False
Laser_Cleaning_Demand,0.0002833691406151824,0.0009288193748016847,False
Bottom_Kerf,0.0001957397815588291,0.0010949761432322025,False
Package_Size_3,0.00018090496243149587,0.0005778716404850185,False
Kerf_Angle,0.0001248923274717706,0.00031757188151936044,False
Cutting_X_Index,9.235381669272328e-05,0.0004853159076605335,False
Beam_Diameter,7.263867750027889e-05,0.0004230984238109546,False
Laser_Centering_Position,7.049511387139755e-05,0.00047215730344417274,False
Power_Efficiency,3.5355792679162926e-05,0.0004225276724950193,False
Cutting_Offset,-1.0865621537609061e-05,0.0003867805141709207,False
Kerf_Width_Profile,-3.1748390206006356e-05,0.00044357080594674474,False
Package_Size_1,-9.822107412001032e-05,0.0010598832002934684,False
Cooling_Flow,-0.00010412212970059194,0.0007161924159243288,False
Maintenance_Count,-0.00023837662524763825,0.0001977026603616324,False
Alignment_Time,-0.0003996349703669892,0.00061639913665902,False
Package_Size_4,-0.00039979810962905517,0.0006023564929280999,False
Coating_Flow,-0.0004516494591892924,0.000393620131166031,False
Laser_Head_Remain_Time,-0.000560251460365152,0.0006457414593069771,False
Cooling_Water_Temp,-0.0007518281967802946,0.0006847613329531221,False
Package_Size_2,-0.0008052727599998884,0.0004373264754903073,False
Groove_Depth,-0.000871278223215947,0.0006873740347949104,False
Cleaning_Load_Ratio,-0.000942357811100584,0.005139686904192676,False
Top_Kerf,-0.0011430866109737017,0.000918243712558136,False
Surface_Roughness,-0.001164280215219395,0.0010309033446611634,False
Frequency,-0.0014102927801930083,0.0007603466167209982,False
Laser_Current,-0.0018453927999987371,0.0007514207025864741,False
CLN_Time,-0.003426911899723454,0.0021646497351119217,False
Cleaning_Capacity,-0.0045088578575704676,0.003723606816875434,False
