column,mean_abs_shap,shap_top10
CLN_Pressure,0.1528768412227118,True
Coating_Thickness,0.07416772538677281,True
CLN_Flow,0.029255071908986945,True
Cleaning_Load_Ratio,0.02197218667039906,True
Cleaning_Capacity,0.016261512273376015,True
CLN_Time,0.00931210544988507,True
Laser_Power,0.002954156994275409,True
Coating_Uniformity,0.0027576026088692134,True
Vibration,0.0026147950905222876,True
Surface_Roughness,0.0019344159927197116,True
Cutting_Y_Index,0.0019061648561036844,False
Package_Size_2,0.0014867649026752972,False
Laser_Current,0.0014693484175794125,False
Frequency,0.0014666268947090908,False
Process_Time,0.0013833258189301912,False
Feed_Speed,0.0012121303361483425,False
Groove_Depth,0.00108450938868498,False
Laser_Cleaning_Demand,0.0010163624171662957,False
Power_Efficiency,0.0009184611839364353,False
Cooling_Water_Temp,0.0008741421980991783,False
Kerf_Width_Profile,0.0008643479966847664,False
Beam_Diameter,0.0007703737017346078,False
Bottom_Kerf,0.0007691171055639672,False
Coating_Flow,0.0007106661908018405,False
Package_Size_4,0.0007013367283584744,False
Package_Size_1,0.0007003751642571321,False
Top_Kerf,0.0006809694745389156,False
Cooling_Flow,0.0006702570486143861,False
Alignment_Time,0.0006461965774441028,False
Cutting_X_Index,0.0006393361143478368,False
Laser_Voltage,0.0006334234450009855,False
Head_Temp,0.000615304799923907,False
Kerf_Angle,0.000561236797420122,False
Focus,0.0005573193027110559,False
Package_Size_3,0.0005560806023641498,False
Laser_Head_Remain_Time,0.0005438394646294189,False
Cooling_Thermal_Load,0.0005307815155929396,False
Cutting_Offset,0.00047242271756107757,False
Laser_Centering_Position,0.0004675843039425324,False
Maintenance_Count,0.0003560120225031449,False
