strip_row_index,Machine_ID,predicted_proba_defect,base_value,rank,feature,raw_value,shap_contribution
42749,DP04,0.6210926811388827,0.4999999999999973,1,CLN_Pressure,296.8,0.276033402830564
42749,DP04,0.6210926811388827,0.4999999999999973,2,Coating_Thickness,10.1268,-0.04186054894900907
42749,DP04,0.6210926811388827,0.4999999999999973,3,Cleaning_Load_Ratio,0.017829769490915883,-0.030452976977654905
42749,DP04,0.6210926811388827,0.4999999999999973,4,Cleaning_Capacity,46206.9257216,-0.023862474922084605
42749,DP04,0.6210926811388827,0.4999999999999973,5,CLN_Flow,10.048,-0.015316981055664059
91808,DP04,0.7692391603949972,0.4999999999999973,1,CLN_Pressure,295.856,0.27836327627312535
91808,DP04,0.7692391603949971,0.4999999999999973,2,Coating_Thickness,9.8481,-0.03860591778603559
91808,DP04,0.7692391603949971,0.4999999999999973,3,Cleaning_Load_Ratio,0.019281441348092787,0.027409820506431388
91808,DP04,0.7692391603949971,0.4999999999999973,4,Cleaning_Capacity,43105.818019264,0.020675772008420336
91808,DP04,0.7692391603949972,0.4999999999999973,5,CLN_Flow,9.814,-0.01732260177161115
62487,DP01,0.6670705429515429,0.4999999999999973,1,CLN_Pressure,296.017,0.28677284086923793
62487,DP01,0.6670705429515428,0.4999999999999973,2,Coating_Thickness,10.0413,-0.044454413941007985
62487,DP01,0.6670705429515429,0.4999999999999973,3,Cleaning_Load_Ratio,0.017875456497867308,-0.03234404607947573
62487,DP01,0.6670705429515428,0.4999999999999973,4,Cleaning_Capacity,46612.880521367995,-0.027007591982877308
62487,DP01,0.6670705429515429,0.4999999999999973,5,CLN_Flow,10.056,-0.014853526112199596
70518,DP04,0.6818925003130488,0.4999999999999973,1,Coating_Thickness,9.5906,0.3010900075575536
70518,DP04,0.6818925003130489,0.4999999999999973,2,CLN_Pressure,298.788,-0.0967428344189183
70518,DP04,0.6818925003130489,0.4999999999999973,3,CLN_Flow,9.711,-0.023296375463797106
70518,DP04,0.6818925003130489,0.4999999999999973,4,Cleaning_Load_Ratio,0.019336456056732693,0.017808190957904625
70518,DP04,0.6818925003130489,0.4999999999999973,5,Cleaning_Capacity,42997.777041492,0.01505544878543911
95082,DP01,0.7205540395779503,0.4999999999999973,1,CLN_Pressure,296.805,0.2753770480991766
95082,DP01,0.7205540395779503,0.4999999999999973,2,Coating_Thickness,9.8932,-0.041077201093009406
95082,DP01,0.7205540395779503,0.4999999999999973,3,CLN_Flow,9.962,-0.01599587688248456
95082,DP01,0.7205540395779503,0.4999999999999973,4,Cleaning_Load_Ratio,0.018847080692216862,0.014614136208372937
95082,DP01,0.7205540395779505,0.4999999999999973,5,Cutting_Y_Index,-0.872,-0.00996044245020398
