column,importance_mean,importance_std,tree_top10
CLN_Flow,0.26022673264177926,0.004136244966322291,True
CLN_Pressure,0.05716179166951051,0.0028675274363824236,True
Coating_Thickness,0.036291528488138,0.002020298504185345,True
Cleaning_Load_Ratio,0.01315719542055357,0.0043715811058719885,True
Cleaning_Capacity,0.011955190717751729,0.005243544936944756,True
Top_Kerf,0.010367130559974461,0.005894472539401119,True
Head_Temp,0.009610181726855061,0.005438423913189832,True
Bottom_Kerf,0.009377680385297653,0.0060784142089436825,True
Kerf_Width_Profile,0.00897693238190059,0.00610194005145181,True
Focus,0.008549461184768093,0.005794397045128612,True
Laser_Power,0.007074655206053508,0.0035578173785453335,False
CLN_Time,0.006007839089818811,0.0031695962361061596,False
Power_Efficiency,0.005817280616095851,0.00446486589025451,False
Kerf_Angle,0.005703948700031947,0.003201418121588421,False
Package_Size_1,0.005059464199136136,0.0031597836871623823,False
Cutting_Offset,0.0050427855517505725,0.003458891412213209,False
Laser_Cleaning_Demand,0.0050170488735772935,0.003803884810207806,False
Vibration,0.004839018743300531,0.006133722573515379,False
Groove_Depth,0.004791686964285639,0.0026969954634933732,False
Laser_Centering_Position,0.0043104238892928875,0.004216432344100389,False
Package_Size_4,0.00352304772860678,0.0021613068051387543,False
Cooling_Flow,0.002035959935265093,0.0013670823685385787,False
Coating_Uniformity,0.002033003825527602,0.0005521523284679563,False
Package_Size_2,0.0018642786794071423,0.0014135465252623238,False
Package_Size_3,0.0017878312964436796,0.0010752686071897732,False
Process_Time,0.001034526763107424,0.0008836754584890501,False
Cutting_X_Index,0.0007520635825567871,0.0006612699672156725,False
Laser_Head_Remain_Time,0.000427945243684776,0.0009084112416475087,False
Cutting_Y_Index,0.00031854028135156474,0.0008668115430304672,False
Feed_Speed,0.00023210305235121058,0.0006432934386299782,False
Beam_Diameter,0.00018087920582759615,0.0005891373858285597,False
Alignment_Time,-0.0001021714945410664,0.0003647162400923319,False
Surface_Roughness,-0.00019624755340788742,0.0021989198441765352,False
Laser_Voltage,-0.00020788831250298696,0.0005643623861622719,False
Cooling_Thermal_Load,-0.00030272495721066494,0.0007545647565638924,False
Laser_Current,-0.0003697577460947121,0.0005760456686743156,False
Maintenance_Count,-0.0004453177030034006,0.00029320055843074937,False
Coating_Flow,-0.0005736035066591816,0.0006575659815807781,False
Cooling_Water_Temp,-0.0010385395681310175,0.0007035550499330989,False
Frequency,-0.001509271843692317,0.0007537082074068405,False
