label,column,importance_mean,importance_std,rank,tree_flag
is_burn_primary,Laser_Power,0.005132301642293061,0.0031344897423205846,3,True
is_burn_primary,Power_Efficiency,0.005053268815159743,0.0036109139781399006,4,True
is_burn_primary,Laser_Centering_Position,0.0026241507914762765,0.0022800428877068984,8,True
is_burn_primary,Laser_Current,0.0006014605939248555,0.003248033894217982,13,False
is_burn_primary,Laser_Voltage,-0.002383656837338244,0.00437315375702709,20,False
is_burn_primary,Beam_Diameter,-0.004980239976778293,0.005563968996026691,29,False
is_burn_primary,Feed_Speed,-0.005123884963929868,0.0054935422724131325,30,False
is_burn_primary,Frequency,0.13293872357585096,0.00471796170776928,1,True
is_burn_primary,Alignment_Time,-0.0041019596814069635,0.006192799143005209,27,False
is_burn_primary,Process_Time,-0.0005397785094297225,0.004576185220793001,16,False
is_burn_primary,Cutting_X_Index,-0.009525358747867514,0.006966678797087134,34,False
is_burn_primary,Cutting_Y_Index,-0.0022746151031336702,0.0025156267491613865,19,False
is_burn_primary,Head_Temp,0.001613917960714569,0.0022251277026339427,11,False
is_burn_primary,Cooling_Flow,0.007152226210455341,0.004297847730313107,2,True
is_burn_primary,Cooling_Water_Temp,-0.013003826864335032,0.006460705139916383,35,False
is_burn_primary,Focus,0.0033453110778597956,0.004683007969538917,5,True
is_burn_primary,CLN_Flow,-0.004836391194417755,0.003798626489219816,28,False
is_burn_primary,CLN_Pressure,-0.0033472172661885274,0.006677577238427812,24,False
is_burn_primary,CLN_Time,0.0019496534330980233,0.002354713676295435,9,True
is_burn_primary,Coating_Flow,-0.0008495803004629783,0.004612737876679009,17,False
is_burn_primary,Laser_Head_Remain_Time,-0.007030057245509932,0.0052798392700441205,32,False
is_burn_primary,Vibration,0.0004246781207053925,0.0028340122724493464,14,False
is_burn_primary,Kerf_Width_Profile,-0.002848760960095061,0.007954419135096237,21,False
is_burn_primary,Top_Kerf,-0.003794771602538146,0.00815986371846888,25,False
is_burn_primary,Bottom_Kerf,-0.0091670435289844,0.010928325360891718,33,False
is_burn_primary,Kerf_Angle,-0.005942195420869658,0.005865295166676203,31,False
is_burn_primary,Groove_Depth,0.002849631327606818,0.0032486836783697775,6,True
is_burn_primary,Package_Size_1,0.0016862727142173276,0.002695906844224116,10,True
is_burn_primary,Package_Size_2,-0.00018100809943948174,0.0020739959098484686,15,False
is_burn_primary,Package_Size_3,0.0027892748989979455,0.0017411408863727705,7,True
is_burn_primary,Package_Size_4,-0.01533072512867157,0.006748461316228985,36,False
is_burn_primary,Coating_Thickness,-0.0028853292721414165,0.003452426142711678,22,False
is_burn_primary,Coating_Uniformity,-0.003913774240876757,0.005880289365201894,26,False
is_burn_primary,Cutting_Offset,-0.0019149810642653735,0.0038308761667847696,18,False
is_burn_primary,Surface_Roughness,-0.003239515043158612,0.006002879003883275,23,False
is_burn_primary,Thermal_Load_Ratio,0.0006197997705415126,0.013815705709060329,12,False
is_burn_broad,Laser_Power,0.0013396451333606914,0.0026723025636230346,15,False
is_burn_broad,Power_Efficiency,-0.005934318597646602,0.00602430109453415,36,False
is_burn_broad,Laser_Centering_Position,0.0008481640665279862,0.002073517334183783,17,False
is_burn_broad,Laser_Current,-0.005058493044319939,0.003136572425984078,35,False
is_burn_broad,Laser_Voltage,0.0013758844916962128,0.002938263310445454,14,False
is_burn_broad,Beam_Diameter,0.0014015223177380335,0.0031930022762944304,13,False
is_burn_broad,Feed_Speed,-0.0027936434128853606,0.0020294225757008094,31,False
is_burn_broad,Frequency,0.1583472641846231,0.0016412145225481517,1,True
is_burn_broad,Alignment_Time,0.0008211795311138932,0.0019567712907467487,18,False
is_burn_broad,Process_Time,0.002775172722923223,0.0024722175945453115,7,True
is_burn_broad,Cutting_X_Index,0.002032724461613561,0.0016808074585779314,9,True
is_burn_broad,Cutting_Y_Index,-0.00019721575242285608,0.004116492857401279,23,False
is_burn_broad,Head_Temp,0.0014247632731514766,0.0012494265320954938,12,False
is_burn_broad,Cooling_Flow,0.0076517738843351595,0.004068834849347087,2,True
is_burn_broad,Cooling_Water_Temp,0.0014867605104507057,0.002439735884602862,11,False
is_burn_broad,Focus,-0.0006543397885375058,0.005109849108311392,26,False
is_burn_broad,CLN_Flow,-0.0021652502173074035,0.002198634478962218,29,False
is_burn_broad,CLN_Pressure,0.002071128127756289,0.003189529013938991,8,True
is_burn_broad,CLN_Time,-0.001348864926994823,0.0031710095901125125,27,False
is_burn_broad,Coating_Flow,0.00403497620222182,0.0027053508015151832,4,True
is_burn_broad,Laser_Head_Remain_Time,0.0015036453943420773,0.0029623249879422173,10,True
is_burn_broad,Vibration,-0.00017110640595336218,0.0034586579243350243,21,False
is_burn_broad,Kerf_Width_Profile,-0.0037851077813238986,0.007895960038009535,34,False
is_burn_broad,Top_Kerf,-0.00022239999916148594,0.006761406392804024,24,False
is_burn_broad,Bottom_Kerf,-0.003460486463986904,0.003856581117533884,32,False
is_burn_broad,Kerf_Angle,-0.00018153200065241978,0.003915541573649873,22,False
is_burn_broad,Groove_Depth,0.0005835104698464174,0.002708617086878331,19,False
is_burn_broad,Package_Size_1,-2.381885587217821e-06,0.0013857200286829486,20,False
is_burn_broad,Package_Size_2,-0.0015579013004894356,0.002092572672142046,28,False
is_burn_broad,Package_Size_3,-0.00025256927550781536,0.0025535923432224252,25,False
is_burn_broad,Package_Size_4,-0.0022705214772584543,0.0025009567716145873,30,False
is_burn_broad,Coating_Thickness,0.0010054016643538499,0.00176008520539808,16,False
is_burn_broad,Coating_Uniformity,0.0029742012134852873,0.002839337570592485,5,True
is_burn_broad,Cutting_Offset,-0.003593224095337982,0.000906763172684596,33,False
is_burn_broad,Surface_Roughness,0.0028259564253050227,0.004968389519425017,6,True
is_burn_broad,Thermal_Load_Ratio,0.006034007544858966,0.010574498640881301,3,True
