column,label,lag_window,delta_concurrent,delta_lagged,p_lagged,signal_retention_ratio,p_lagged_fdr,lagged_significant,interpretation
Alignment_Time,primary,5,0.02485313295805458,-0.0008571991254339162,0.9180721107377819,0.03449058623235301,0.9777977007711118,False,선행신호 소멸 - 결과 공변 해석 지지
Alignment_Time,primary,20,0.02485313295805458,0.0016595464872115606,0.842197751820131,0.06677413628343878,0.8819222085545853,False,선행신호 소멸 - 결과 공변 해석 지지
Alignment_Time,primary,50,0.02485313295805458,0.016559836224461888,0.04703863930425808,0.6663077951745741,0.12543637147802153,False,선행신호 약함 - 판단 보류
Alignment_Time,broad,5,0.0034227472891570354,-0.00663328582598699,0.17059372291360886,1.9380004615008126,0.2729499566617742,False,선행신호 약함 - 판단 보류
Alignment_Time,broad,20,0.0034227472891570354,-0.009431562440968655,0.051394909461959175,2.755553257129739,0.08223185513913468,False,선행신호 약함 - 판단 보류
Alignment_Time,broad,50,0.0034227472891570354,0.0017882919465068703,0.7118874904711834,0.5224726792340244,0.7593466565025956,False,선행신호 약함 - 판단 보류
Alignment_Time,pure,5,0.02485313295805458,-0.0008571991254339162,0.9180721107377819,0.03449058623235301,0.9777977007711118,False,선행신호 소멸 - 결과 공변 해석 지지
Alignment_Time,pure,20,0.02485313295805458,0.0016595464872115606,0.842197751820131,0.06677413628343878,0.8819222085545853,False,선행신호 소멸 - 결과 공변 해석 지지
Alignment_Time,pure,50,0.02485313295805458,0.016559836224461888,0.04703863930425808,0.6663077951745741,0.12543637147802153,False,선행신호 약함 - 판단 보류
CLN_Flow,primary,5,-0.014704622726851801,-0.005398335666046972,0.5171194418511316,0.36711827065030267,0.6993513904230335,False,선행신호 약함 - 판단 보류
CLN_Flow,primary,20,-0.014704622726851801,-0.006823119558498902,0.4130615809474223,0.46401187471742117,0.5580087302050943,False,선행신호 약함 - 판단 보류
CLN_Flow,primary,50,-0.014704622726851801,0.0056569595481761326,0.4975082864865734,0.38470620112177906,0.612317891060398,False,선행신호 약함 - 판단 보류
CLN_Flow,broad,5,0.019954234862764597,0.028327214975863768,4.862452812660411e-09,1.419609179238613,1.111417785750951e-08,False,선행신호 약함 - 판단 보류
CLN_Flow,broad,20,0.019954234862764597,0.024388323760943686,4.713779131082128e-07,1.2222129251597251,1.0774352299616291e-06,False,선행신호 약함 - 판단 보류
CLN_Flow,broad,50,0.019954234862764597,0.031868899687468755,4.6527945900399806e-11,1.5970995583968695,1.0634959062948527e-10,False,선행신호 약함 - 판단 보류
CLN_Flow,pure,5,-0.014704622726851801,-0.005398335666046972,0.5171194418511316,0.36711827065030267,0.6993513904230335,False,선행신호 약함 - 판단 보류
CLN_Flow,pure,20,-0.014704622726851801,-0.006823119558498902,0.4130615809474223,0.46401187471742117,0.5580087302050943,False,선행신호 약함 - 판단 보류
CLN_Flow,pure,50,-0.014704622726851801,0.0056569595481761326,0.4975082864865734,0.38470620112177906,0.612317891060398,False,선행신호 약함 - 판단 보류
CLN_Pressure,primary,5,0.01722421951932218,-0.0053034286344999515,0.5245135428172751,0.30790530906497965,0.6993513904230335,False,선행신호 약함 - 판단 보류
CLN_Pressure,primary,20,0.01722421951932218,-0.010085695453748711,0.22631561740321826,0.5855531185279279,0.3621049878451492,False,선행신호 약함 - 판단 보류
CLN_Pressure,primary,50,0.01722421951932218,-0.012098941100225247,0.14678667129434145,0.7024376974905956,0.2368170792119671,False,선행신호 약함 - 판단 보류
CLN_Pressure,broad,5,0.007053440026645541,-0.002252610701243274,0.641686304642171,0.3193634159691814,0.7333557767339097,False,선행신호 약함 - 판단 보류
CLN_Pressure,broad,20,0.007053440026645541,-0.005497827506082631,0.256114821494663,0.7794533568462586,0.3228249373643137,False,선행신호 약함 - 판단 보류
CLN_Pressure,broad,50,0.007053440026645541,-0.002246474626413031,0.6426854893327341,0.3184934752300438,0.7344977020945532,False,선행신호 약함 - 판단 보류
CLN_Pressure,pure,5,0.01722421951932218,-0.0053034286344999515,0.5245135428172751,0.30790530906497965,0.6993513904230335,False,선행신호 약함 - 판단 보류
CLN_Pressure,pure,20,0.01722421951932218,-0.010085695453748711,0.22631561740321826,0.5855531185279279,0.3621049878451492,False,선행신호 약함 - 판단 보류
CLN_Pressure,pure,50,0.01722421951932218,-0.012098941100225247,0.14678667129434145,0.7024376974905956,0.2368170792119671,False,선행신호 약함 - 판단 보류
