column,rf_importance,rf_rank,rf_flag
Laser_Power,0.0006328305232857795,9,True
Power_Efficiency,0.0004326204481875762,10,True
Laser_Centering_Position,-2.3937803000098623e-05,24,False
Laser_Current,-0.00012672717704562963,26,False
Laser_Voltage,0.00010422890151596254,17,False
Beam_Diameter,7.054182033079948e-05,18,False
Frequency,-0.0037478713415426716,39,False
Feed_Speed,-0.0005470290574830311,30,False
Alignment_Time,-0.0007926850432832782,31,False
Process_Time,0.0006756732343346534,8,True
Cutting_X_Index,0.0013611905729439655,5,True
Cutting_Y_Index,0.00019167380976235494,15,False
Head_Temp,-0.0008245034254388328,32,False
Cooling_Flow,-0.001410666846110195,37,False
Cooling_Water_Temp,3.5018583171433916e-05,21,False
CLN_Flow,0.002476116611641613,3,True
CLN_Pressure,-0.0012672671150149029,36,False
CLN_Time,0.0008355456761924146,7,True
Coating_Flow,-0.0008502931236455402,33,False
Laser_Head_Remain_Time,-0.00028110773776204856,28,False
Vibration,0.005917726594809425,2,True
Kerf_Width_Profile,0.00032348034727200105,14,False
Top_Kerf,0.002167513254760392,4,True
Bottom_Kerf,0.00011281174403753036,16,False
Kerf_Angle,1.296237163026237e-05,23,False
Groove_Depth,0.00037420620875478204,12,False
Package_Size_1,2.3387586667844572e-05,22,False
Package_Size_2,0.00041731968413262764,11,False
Package_Size_3,0.00034243176380255314,13,False
Package_Size_4,-0.00014203054193274168,27,False
Coating_Thickness,-0.0014830542500115784,38,False
Coating_Uniformity,3.958631601108375e-05,20,False
Surface_Roughness,0.11881236438092227,1,True
Cooling_Thermal_Load,-9.793812869179352e-05,25,False
Laser_Cleaning_Demand,0.0012901238466312553,6,True
Cleaning_Capacity,-0.000930588950352515,35,False
Cleaning_Load_Ratio,-0.0004906141964015287,29,False
Package_Size_Asymmetry,-0.0008764092102132471,34,False
Maintenance_Count,6.115877903084821e-05,19,False
