column,label,lag_window,delta_concurrent,delta_lagged,p_lagged,signal_retention_ratio,p_lagged_fdr,lagged_significant,interpretation
Bottom_Kerf,primary,5,-0.0589605476445626,-0.06851712373603769,1.6458837108965817e-34,1.1620842490996843,6.034906939954133e-34,False,선행신호 약함 - 판단 보류
Bottom_Kerf,primary,20,-0.0589605476445626,-0.061779936405367164,2.292984851542303e-28,1.047818225464949,8.40761112232178e-28,False,선행신호 약함 - 판단 보류
Bottom_Kerf,primary,50,-0.0589605476445626,-0.05592048513985648,1.5925070856673574e-23,0.948439038880154,5.0050222692402664e-23,False,선행신호 약함 - 판단 보류
Bottom_Kerf,broad,5,0.130317046380382,0.11460157288660988,1.4450383564177813e-165,0.8794058495778038,4.54154912017017e-165,False,선행신호 약함 - 판단 보류
Bottom_Kerf,broad,20,0.130317046380382,0.10773532144845399,1.532957859068917e-146,0.8267170292824603,3.7472303221684634e-146,False,선행신호 약함 - 판단 보류
Bottom_Kerf,broad,50,0.130317046380382,0.10369686938814637,7.252977831503003e-136,0.7957275910433538,1.5956551229306606e-135,False,선행신호 약함 - 판단 보류
Bottom_Kerf,pure,5,-0.06649690595613844,-0.07535440634990298,1.1950748173123224e-38,1.133201692114923,4.381940996811849e-38,False,선행신호 약함 - 판단 보류
Bottom_Kerf,pure,20,-0.06649690595613844,-0.06362391308676929,4.945761879390018e-28,0.956795089514929,1.813446022443007e-27,False,선행신호 약함 - 판단 보류
Bottom_Kerf,pure,50,-0.06649690595613844,-0.05648381642245226,1.9772825888040739e-22,0.8494202190355917,6.214316707669947e-22,False,선행신호 약함 - 판단 보류
CLN_Flow,primary,5,-0.007574176717731307,-0.004199626535417389,0.45268745178209835,0.5544664049870892,0.524164417852956,False,선행신호 약함 - 판단 보류
CLN_Flow,primary,20,-0.007574176717731307,-0.00557579100194483,0.31880085778101874,0.7361580287520604,0.38964549284346733,False,선행신호 약함 - 판단 보류
CLN_Flow,primary,50,-0.007574176717731307,-0.001001213645158483,0.8579657499372056,0.13218778521692276,0.8988212618389773,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Flow,broad,5,-0.1459601602628704,-0.14081092761111846,6.82947366419191e-249,0.964721656632342,3.756210515305551e-248,False,선행신호 약함 - 판단 보류
CLN_Flow,broad,20,-0.1459601602628704,-0.1451750809573349,2.1514399168247867e-264,0.9946212767640047,1.1832919542536327e-263,False,선행신호 약함 - 판단 보류
CLN_Flow,broad,50,-0.1459601602628704,-0.1418760538181938,1.5710494198488746e-252,0.9720190328832111,8.64077180916881e-252,False,선행신호 약함 - 판단 보류
CLN_Flow,pure,5,-0.005229669659199909,-0.00250254488078272,0.6658912892311377,0.478528290286998,0.6976003982421443,False,선행신호 약함 - 판단 보류
CLN_Flow,pure,20,-0.005229669659199909,-0.004361733797855982,0.45174556836110213,0.8340361977133537,0.5846119119967205,False,선행신호 약함 - 판단 보류
CLN_Flow,pure,50,-0.005229669659199909,-0.00033311067415608964,0.9541799556407866,0.06369631274321301,0.9885531946970835,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,primary,5,0.01310424937510235,-0.0023806241708460574,0.6703386189369547,0.18166810648225043,0.7022595055530001,False,선행신호 약함 - 판단 보류
CLN_Pressure,primary,20,0.01310424937510235,-0.0004571228375005454,0.9348603646123297,0.034883557570955875,0.9348603646123297,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,primary,50,0.01310424937510235,-0.004428386732346801,0.42861573174739875,0.33793516939326507,0.5893466311526733,False,선행신호 약함 - 판단 보류
CLN_Pressure,broad,5,-0.06329028581126483,-0.004125345889280041,0.32356128603115175,0.06518134396773073,0.39546379403807436,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,broad,20,-0.06329028581126483,0.0042330074438470255,0.3111223043136073,0.06688241946750074,0.42779316843121007,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,broad,50,-0.06329028581126483,-0.002039301080156375,0.6256319342282166,0.03222139154557912,0.6256319342282166,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,pure,5,0.011725376947836708,-0.004430057201797566,0.4446465071932797,0.3778178920392744,0.4891111579126077,False,선행신호 약함 - 판단 보류
CLN_Pressure,pure,20,0.011725376947836708,0.000878469142188365,0.8795357100970294,0.07492033271906363,0.9214183629587926,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,pure,50,0.011725376947836708,-0.0051911493654269725,0.37055913046022027,0.4427277168590066,0.5427003552630011,False,선행신호 약함 - 판단 보류
CLN_Time,primary,5,0.004730254824348856,-0.007509197734101414,0.17935871626428646,1.587482707157345,0.28184941127245017,False,선행신호 약함 - 판단 보류
CLN_Time,primary,20,0.004730254824348856,-0.006173008713336925,0.2697211966774504,1.3050055319560234,0.3555860322220097,False,선행신호 약함 - 판단 보류
CLN_Time,primary,50,0.004730254824348856,-0.00581565232767467,0.2985570084432577,1.2294585690687867,0.46916101326797643,False,선행신호 약함 - 판단 보류
CLN_Time,broad,5,0.004319863744975505,-0.006803665031511308,0.10351031048534069,1.5749721364301703,0.1626590593341068,False,선행신호 약함 - 판단 보류
CLN_Time,broad,20,0.004319863744975505,-0.001771473825120773,0.6716558845248537,0.4100763194628996,0.6716558845248537,False,선행신호 약함 - 판단 보류
CLN_Time,broad,50,0.004319863744975505,0.004050351524699902,0.33254041690309266,0.9376109441902939,0.4064382873260021,False,선행신호 약함 - 판단 보류
CLN_Time,pure,5,0.003720006830365108,-0.009944505082819743,0.0861906259920121,2.673249146116143,0.1458610593710974,False,선행신호 약함 - 판단 보류
CLN_Time,pure,20,0.003720006830365108,-0.006647341636159321,0.25145081055346685,1.7869165136739555,0.36879452214508474,False,선행신호 약함 - 판단 보류
CLN_Time,pure,50,0.003720006830365108,-0.004403341071771094,0.4475315877302878,1.1836916630980807,0.5791585252980195,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,primary,5,0.007143138608104227,-0.009461563818050633,0.09067686253035473,1.3245667397964311,0.1662409146389837,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,primary,20,0.007143138608104227,-0.01057612230085625,0.058629572549200176,1.480598778925715,0.10270041706582524,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,primary,50,0.007143138608104227,-0.010775931782388337,0.054083150704203276,1.5085710040909097,0.09915244295770602,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,broad,5,-0.14332291892742655,-0.1498411641552757,1.486675046830339e-281,1.045479433970709,1.0902283676755819e-280,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,broad,20,-0.14332291892742655,-0.150081612033782,2.029139660063649e-282,1.047157099206009,1.4880357507133426e-281,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,broad,50,-0.14332291892742655,-0.14819102235928783,2.575674322885975e-275,1.0339659802374406,1.8888278367830484e-274,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,pure,5,0.009830785578416767,-0.008338404470427774,0.15022868654804764,0.8481930974808893,0.22033540693713655,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,pure,20,0.009830785578416767,-0.008684163149598856,0.1340721373382102,0.8833641096459991,0.2180012838633441,False,선행신호 약함 - 판단 보류
Cleaning_Capacity,pure,50,0.009830785578416767,-0.008135915913334402,0.16050585512535187,0.8275957041720645,0.29426073439647843,False,선행신호 약함 - 판단 보류
Coating_Flow,primary,5,0.009305316394613738,-0.007180359292018879,0.19916574613751725,0.771640531876502,0.292109761001692,False,선행신호 약함 - 판단 보류
Coating_Flow,primary,20,0.009305316394613738,0.006121737134527461,0.27371921347789885,0.6578752269047992,0.3555860322220097,False,선행신호 약함 - 판단 보류
Coating_Flow,primary,50,0.009305316394613738,0.008291925139622958,0.13829767347508035,0.8910954542526497,0.23404221665013597,False,선행신호 약함 - 판단 보류
Coating_Flow,broad,5,0.003102463637325137,-0.004977912236351467,0.23358330492191326,1.6045030073723259,0.3211770442676307,False,선행신호 약함 - 판단 보류
Coating_Flow,broad,20,0.003102463637325137,0.0033030714929802585,0.42932005303944376,1.0646608241404178,0.5555906568745743,False,선행신호 약함 - 판단 보류
Coating_Flow,broad,50,0.003102463637325137,0.002267640141334182,0.5874657463865719,0.7309159450098445,0.6154403057383134,False,선행신호 약함 - 판단 보류
Coating_Flow,pure,5,0.008397032043157893,-0.008875630764878517,0.12566606150707982,1.056996176656322,0.19747523951112544,False,선행신호 약함 - 판단 보류
Coating_Flow,pure,20,0.008397032043157893,0.005769847517684834,0.3195208913163291,0.687129391436138,0.43934122555995253,False,선행신호 약함 - 판단 보류
Coating_Flow,pure,50,0.008397032043157893,0.00724350619896752,0.21150432339357783,0.8626269569698386,0.35793039343528554,False,선행신호 약함 - 판단 보류
Coating_Uniformity,primary,5,0.005207734565692457,0.004815086104386523,0.38924159999221053,0.924602827514938,0.4955569586385696,False,선행신호 약함 - 판단 보류
Coating_Uniformity,primary,20,0.005207734565692457,0.00610833365310981,0.27477102489882566,1.1729349059666605,0.3555860322220097,False,선행신호 약함 - 판단 보류
Coating_Uniformity,primary,50,0.005207734565692457,0.0016029683729374966,0.7744749851658932,0.30780531394544197,0.8519224836824826,False,선행신호 약함 - 판단 보류
Coating_Uniformity,broad,5,-0.0021119482595352013,0.0027603305829078106,0.5089153926907899,1.307006727293265,0.5598069319598689,False,선행신호 약함 - 판단 보류
Coating_Uniformity,broad,20,-0.0021119482595352013,-0.0030924031134216268,0.4593320364760253,1.4642418910879023,0.5614058223595864,False,선행신호 약함 - 판단 보류
Coating_Uniformity,broad,50,-0.0021119482595352013,-0.00484400629269488,0.2465033806425877,2.2936197754015772,0.3389421483835581,False,선행신호 약함 - 판단 보류
Coating_Uniformity,pure,5,0.005257486943803125,0.0049008159034085175,0.3977781202071258,0.9321594053951942,0.4605851918187772,False,선행신호 약함 - 판단 보류
Coating_Uniformity,pure,20,0.005257486943803125,0.0040139860950729744,0.48861528093632467,0.7634799930039131,0.5971964544777301,False,선행신호 약함 - 판단 보류
Coating_Uniformity,pure,50,0.005257486943803125,-8.317547682412663e-05,0.9885531946970835,0.015820386757624493,0.9885531946970835,False,선행신호 소멸 - 결과 공변 해석 지지
Cutting_X_Index,primary,5,-0.0004574370540176842,-0.004789456559241789,0.3917706593736845,10.47019806807481,0.4955569586385696,False,선행신호 약함 - 판단 보류
Cutting_X_Index,primary,20,-0.0004574370540176842,-0.0015631916993701367,0.7798678605961323,3.4172826307807256,0.8296373352482864,False,선행신호 약함 - 판단 보류
Cutting_X_Index,primary,50,-0.0004574370540176842,0.002575020254864002,0.6453165743271239,5.6292340820393045,0.781146023261255,False,선행신호 약함 - 판단 보류
Cutting_X_Index,broad,5,-0.00772830145162251,-0.0015014073521881777,0.7193885728227271,0.19427391149098697,0.7193885728227271,False,선행신호 약함 - 판단 보류
Cutting_X_Index,broad,20,-0.00772830145162251,0.0022780787599943064,0.5856871894536628,0.2947709498981872,0.6442559083990291,False,선행신호 약함 - 판단 보류
Cutting_X_Index,broad,50,-0.00772830145162251,0.0045882534380212725,0.2723365199838559,0.5936949362991005,0.35243549644969585,False,선행신호 약함 - 판단 보류
Cutting_X_Index,pure,5,-0.0015902518351326167,-0.00527494705973941,0.3627437394274876,3.31705138972502,0.4605851918187772,False,선행신호 약함 - 판단 보류
Cutting_X_Index,pure,20,-0.0015902518351326167,-0.00015821549486105813,0.9782236128366582,0.09949084249782612,0.9782236128366582,False,선행신호 소멸 - 결과 공변 해석 지지
Cutting_X_Index,pure,50,-0.0015902518351326167,0.0036326121677305867,0.5309261497228632,2.284299937580421,0.6489097385501661,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,primary,5,-0.0034135478932246777,-0.004652477255884135,0.40545569343155696,1.3629447722466486,0.4955569586385696,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,primary,20,-0.0034135478932246777,-0.0014754851263687474,0.7919265472824553,0.43224386255055597,0.8296373352482864,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,primary,50,-0.0034135478932246777,0.00022984238395462597,0.9672292083771508,0.06733240345355186,0.9672292083771508,False,선행신호 소멸 - 결과 공변 해석 지지
Cutting_Y_Index,broad,5,-0.00228394495323192,-0.0025535758727081026,0.5411647986107323,1.1180549115663398,0.566934550925529,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,broad,20,-0.00228394495323192,0.0018052779075727887,0.6657667736786239,0.7904209359416529,0.6716558845248537,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,broad,50,-0.00228394495323192,0.0036036772071399437,0.38860673405363055,1.5778301495579055,0.4499656920620985,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,pure,5,-0.0046459888622353285,-0.006354268415941444,0.2729135865370417,1.367689119444899,0.3752561814884323,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,pure,20,-0.0046459888622353285,-0.0029350421959913886,0.612598262944819,0.6317368127695531,0.709324304462422,False,선행신호 약함 - 판단 보류
Cutting_Y_Index,pure,50,-0.0046459888622353285,-0.002815717841103571,0.6271898598709441,0.6060535064969662,0.7262198377453037,False,선행신호 약함 - 판단 보류
